"","start_speed","pfx_x","pfx_z","pitch_type"
"64",86.4,5.1,12.05,"CH"
"65",87.7,4.07,3.41,"CH"
"66",85.8,6.07975840601044,12.1816464821231,"CH"
"67",87,7.06,11.38,"CH"
"68",86.2,8.02,7.74,"CH"
"69",85.7,4.6,10.87,"CH"
"70",84.8,6.92,9.68,"CH"
"71",86.5,6.71,12.31,"CH"
"72",86,10.76,6.35,"CH"
"73",86.5,6.01770868960345,13.5068497059167,"CH"
"74",84.7,8.74,9.46,"CH"
"75",86.4,7.02,11.9,"CH"
"76",83.7,5.90080537054799,14.442598919561,"CH"
"77",84.3,5.5,10.43,"CH"
"78",86.1,6.08,10.21,"CH"
"79",84.5,6.52,11.79,"CH"
"80",88.7,7.17,9.62,"CH"
"81",85.6,6.38,13.03,"CH"
"82",89.7,6.32,8.2,"CH"
"83",88.9,3.92,6.35,"CH"
"84",85.8,7.53,11.38,"CH"
"85",85.9,7.16,11.29,"CH"
"86",88.8,0.83,-4.34,"CH"
"87",85.4,6.33,8.96,"CH"
"88",85.1,9.1,16.73,"CH"
"89",83.5,5.66,10.14,"CH"
"90",84.5,5.82,9.8,"CH"
"91",85.6,6.05,10.03,"CH"
"92",81.4,9.33,11.22,"CH"
"93",85.5,7.05,11.34,"CH"
"94",88.1,5.64,8.19,"CH"
"95",85.9,9.24,8.4,"CH"
"96",87.4,7.07,8.84,"CH"
"97",83.9,5.68115859819983,14.2587687496398,"CH"
"98",84,9.91,10.44,"CH"
"99",84.4,3.42,14.78,"CH"
"100",85.1,7.24,11.83,"CH"
"101",85.7,6.3,12.85,"CH"
"102",87.3,5.79,9.05,"CH"
"103",86.7,6.11,12.25,"CH"
"104",84.5,5.08,12.5,"CH"
"105",90.7,7.22,5.95,"CH"
"106",83.9,7.83,12.86,"CH"
"107",85.9,8.37,10.26,"CH"
"108",86.2,7.75466315290168,11.9138975236711,"CH"
"109",87.6,6.06,11.44,"CH"
"110",86.1,4.61,10.69,"CH"
"111",88.8,6.78,8.91,"CH"
"112",83.4,5.73,13.83,"CH"
"113",87.3,7.18603663863544,12.3215817401122,"CH"
"114",83.2,10.59,9.55,"CH"
"115",86.3,7.06,11.82,"CH"
"116",89.6,4.91,9.08,"CH"
"117",86,4.23,12.13,"CH"
"118",86.3,4.98,13.2,"CH"
"119",85.9,6.44071678675015,10.4112768185067,"CH"
"120",85.3,4.34629302390067,11.4947853028022,"CH"
"121",89.7,7.88,9.56,"CH"
"122",86,5.65,14.64,"CH"
"123",89.7,6.61,8.94,"CH"
"124",89.7,5.7,8.64,"CH"
"125",87.1,8.04687741692478,13.3247055125357,"CH"
"126",84.8,11.33,10.46,"CH"
"127",83.7,9.04,10.57,"CH"
"128",83.8,8.87,10.13,"CH"
"129",85,5.9,13.3,"CH"
"130",84.8,10.08,8.85,"CH"
"131",86.8,8.55,14.03,"CH"
"132",91.5,4.81,9.47,"CH"
"133",85.4,9.81,11.58,"CH"
"134",84.6,6.79152712279979,12.3372476825165,"CH"
"135",86.2,6.43,11.88,"CH"
"136",86,5.71,10.01,"CH"
"137",85.9,5.36,11.02,"CH"
"138",83.8,4.64,13.21,"CH"
"139",86.7,4.76707319615149,13.0218455297033,"CH"
"140",85.3,9.96,10.31,"CH"
"141",84.4,3.53,-6.09,"CH"
"142",85,5.4174930690258,11.9813656228217,"CH"
"143",87.5,4.56,9.52,"CH"
"144",84.4,2.79,-6.32,"CH"
"145",85.5,8.30616945004448,11.5909052840205,"CH"
"146",84.5,9.58,10.28,"CH"
"147",85.4,3.47,13.73,"CH"
"148",85.4,6.27051517283476,12.552716452007,"CH"
"149",85.6,6.49,12.81,"CH"
"150",89.1,6.42,11.15,"CH"
"151",73.3,-1.42,-16.1,"CU"
"152",73.8,0.25,-9.89,"CU"
"153",74,-2.39308343056182,-8.9830008270824,"CU"
"154",74.6,-1.7,-7.93,"CU"
"155",73.9,-1.42195831748342,-8.04125083740125,"CU"
"156",71.9,-2.58,-10.1,"CU"
"157",72.6,-2.51,-12.07,"CU"
"158",75.8,-0.86,-10.67,"CU"
"159",72.2,-1.88,-10.31,"CU"
"160",72.4,-1.59,-8.06,"CU"
"161",72.6,0.3,-11.23,"CU"
"162",71.7,-1.55502932429226,-8.34664033919771,"CU"
"163",71.6,-0.46,-9.85,"CU"
"164",72.4,-2.53,-12.8,"CU"
"165",73.4,-1.59,-7.27,"CU"
"166",74.2,2.01,-8.45,"CU"
"167",72.8,3.65,-12.13,"CU"
"168",73.9,-0.7,-6.53,"CU"
"169",73.7,-3.92,-9.07,"CU"
"170",75.3,1.72851127074,-7.89710723891,"CU"
"171",74.1,-4.3,-8.6,"CU"
"172",74.3,0.620764643062224,-6.00249031941271,"CU"
"173",74.3,-0.69,-10.9,"CU"
"174",73.4,-2.64,-7.54,"CU"
"175",72.8,-1.14,-11.35,"CU"
"176",73.2,-4.56,-8.11,"CU"
"177",73.7,-2.56,-7.21,"CU"
"178",73.6,-1.14,-10.97,"CU"
"179",74.5,-1.87,-15.47,"CU"
"180",74.5,-2.55,-10.34,"CU"
"181",72.7,-2.26031838332699,-8.46163858692554,"CU"
"182",75,-3.09,-5.93,"CU"
"183",73.3,-2.79,-7.84,"CU"
"184",74.4,-1.58,-10.73,"CU"
"185",75.1,2.20514059864331,-5.45343143956121,"CU"
"186",74.7,-2.36,-8.41,"CU"
"187",71.9,0.483340282517216,-8.27407491645482,"CU"
"188",74.5,-2.49,-9.48,"CU"
"189",73.4,-2.64,-9.95,"CU"
"190",73.8,-3.49,-9.01,"CU"
"191",75,-1.51,-12.95,"CU"
"192",75.1,3.01331743642807,-7.29653773935114,"CU"
"193",72.2,-3.13086057766328,-8.12817520263562,"CU"
"194",73.7,-3.21,-8.89,"CU"
"195",73.1,-2.3,-11.03,"CU"
"196",71.8,-1.45,-9.46,"CU"
"197",71.7,-1.74,-12.2,"CU"
"198",71.2,-1.33,-9.26,"CU"
"199",72.9,-1.83,-8.17,"CU"
"200",73,-4.29,-9.78,"CU"
"201",74.5,-0.0784700088959051,-7.70941931787827,"CU"
"202",75.1,-1.2,-7.32,"CU"
"203",70.5,-2.97625403034667,-7.39364477096372,"CU"
"204",72.8,-0.12,-10.34,"CU"
"205",72.1,-3.45,-3.56,"CU"
"206",72.9,-0.16,-8.49,"CU"
"207",75.1,-3.84,-10.18,"CU"
"208",74.9,-3.03,-11.69,"CU"
"209",72.8,-2.22,-9.4,"CU"
"210",73.4,1.22,-8.77,"CU"
"211",73.5,-1.01,-8.99,"CU"
"212",74.6,0.45,-7.04,"CU"
"213",75.2,-2.13,-8.4,"CU"
"214",72.7,1.98,-8.4,"CU"
"215",73.4,-5.1110500779071,-7.28946442307041,"CU"
"216",73.3,-0.447252158784901,-7.17294380627981,"CU"
"217",75.4,-0.87,-4.31,"CU"
"218",74.6,-1.1,-9.43,"CU"
"219",72.8,-0.94,-11.36,"CU"
"220",74.2,-2.79,-11.61,"CU"
"221",72.5,0.08,-10,"CU"
"222",74.8,-0.17,-9.78,"CU"
"223",73.3,-2.87,-8.56,"CU"
"224",73.6,1.84274206745896,-7.02008610387691,"CU"
"225",74.3,-0.335134077102985,-8.51486724117841,"CU"
"226",72,-1.56,-10.68,"CU"
"227",73.4,-1.94,-7.63,"CU"
"228",73.9,-0.22,-12.46,"CU"
"229",74.5,1.58,-8.67,"CU"
"230",73.2,0.127,-12.324,"CU"
"231",72.4,-1.18768976347735,-6.90605559249551,"CU"
"232",73.7,-2.33952535783108,-8.26620333113902,"CU"
"233",73.9,-0.64,-14.96,"CU"
"234",75.2,-0.2,-8.78,"CU"
"235",72.3,-3.84,-7.54,"CU"
"236",73.6,0.476259245250995,-7.32364501182194,"CU"
"237",74.3,-2.74,-9.79,"CU"
"238",73.1,-4.29,-9.72,"CU"
"239",72.8,-0.951347973120134,-6.68168069251283,"CU"
"240",73.9,-5.02,-8.95,"CU"
"241",72.4,-0.69,-11.54,"CU"
"242",74.9,0.67,-10.1,"CU"
"243",75.3,-3.45,-7.69,"CU"
"244",73.7,-2.79,-7.33,"CU"
"245",73.4,1.876,-10.824,"CU"
"246",75,-0.54,-10.2,"CU"
"247",72.8,-1.68,-11.43,"CU"
"248",72.9,-0.89,-11.97,"CU"
"249",73.6,-1.75,-6.28,"CU"
"250",73.3,-2.44,-9.08,"CU"
"251",74,-2.76,-9.65,"CU"
"252",73.6,-4.06,-7.49,"CU"
"253",72.7,-4,-7.94,"CU"
"254",72.9,1.31,-9.97,"CU"
"255",73.8,0.541735759174271,-7.3427398669716,"CU"
"256",72.3,-4.55,-9.01,"CU"
"257",71.7,-2.06,-8.79,"CU"
"258",73.2,-2.61,-8.75,"CU"
"259",73.6,-4.43,-9.86,"CU"
"260",73.5,0.01,-11.74,"CU"
"261",75.8,-3.63,-5.98,"CU"
"262",74,-2.08,-10.7,"CU"
"263",74,-0.35,-9.55,"CU"
"264",75.6,-0.37,-10.56,"CU"
"265",75.3,-5.33,-6.62,"CU"
"266",74,-2.52417147865501,-4.84954066586576,"CU"
"267",74.3,-5.96,-8.33,"CU"
"268",73.1,-1.28,-10.89,"CU"
"269",72.7,0.63,-10.01,"CU"
"270",75.1,-4.97,-6.06,"CU"
"271",75.5,-3.28,-10.43,"CU"
"272",71.3,-1.03852560516711,-10.2446394115137,"CU"
"273",74.1,0.94,-8.23,"CU"
"274",75.9,-2.04,-7.57,"CU"
"275",73.6,-3.04,-6.73,"CU"
"276",73.8,-1.0948236800012,-7.00777545601428,"CU"
"277",73.7,-4.44,-8.29,"CU"
"278",73.5,-1.03,-8.21,"CU"
"279",74,-3.21,-10.31,"CU"
"280",73.5,-0.25,-6.83,"CU"
"281",72.9,0.70214093677681,-6.43657952270383,"CU"
"282",76,-2.55,-5.48,"CU"
"283",73.2,-2.65,-11.54,"CU"
"284",75.1,-2.14,-7.55,"CU"
"285",74.3,-4.33,-8.16,"CU"
"286",74,0.03,-7.96,"CU"
"287",74.2,-0.86,-10.81,"CU"
"288",74.6,-2.02,-4.78,"CU"
"289",73.9,-0.85,-15.68,"CU"
"290",74.3,-3.71,-4.69,"CU"
"291",74.5,2.08,-10.48,"CU"
"292",73,-1.61455685771934,-7.75654101709001,"CU"
"293",75.7,-0.86,-9.58,"CU"
"294",73.9,-4.34,-11.73,"CU"
"295",72.1,-0.81,-7.29,"CU"
"296",74.6,2.13198631294753,-4.19957418444583,"CU"
"297",73.9,-4.8,-8.86,"CU"
"298",75,1.96,-3.3,"CU"
"299",73.4,-0.6,-11.02,"CU"
"300",73.4,0.7,-10.36,"CU"
"301",91.3,-0.96,13.28,"FF"
"302",91.9,1.89,9.37,"FF"
"303",91.9,2.38,14.64,"FF"
"304",92.2,1.2,11.14,"FF"
"305",93.7,1.13,9.83,"FF"
"306",92.8,0.63,11.39,"FF"
"307",94.1,1.47,-2.52,"FF"
"308",93,-1.41,10.44,"FF"
"309",91.8,1.88959067671255,12.75705210144,"FF"
"310",92.8,0.88,12.59,"FF"
"311",91.2,0.17,15.73,"FF"
"312",93.1,-0.31,-2.81,"FF"
"313",91.9,2.66,9.87,"FF"
"314",92.3,0.93,10.04,"FF"
"315",94.6,4.32,8.1,"FF"
"316",92.6,4.01,10.83,"FF"
"317",93.6,0.38,10.97,"FF"
"318",93.3,-1.04,10.35,"FF"
"319",92.9,-1.15,9.57,"FF"
"320",93.2,2.05,9.8,"FF"
"321",93.4,-0.22,13.07,"FF"
"322",91,-0.884770737670279,9.8053625835146,"FF"
"323",93.3,-0.0847836154553344,12.0020781816893,"FF"
"324",94.3,0.67,-3.77,"FF"
"325",94.3,0.22,13.25,"FF"
"326",92,0.09,11.4,"FF"
"327",93.5,2.05330648746826,15.4015002868052,"FF"
"328",92.5,1.91,9.96,"FF"
"329",93.9,-0.38,10.63,"FF"
"330",92.9,-1.77,10.86,"FF"
"331",92.6,1.39,13.1,"FF"
"332",92.7,-2.85,11.22,"FF"
"333",92.6,-0.97,9.39,"FF"
"334",92.5,3.38,13.08,"FF"
"335",92.1,3.29,11.77,"FF"
"336",94.2,0.22,11.65,"FF"
"337",92.6,0.04,10.25,"FF"
"338",92.3,0.91,11.52,"FF"
"339",92.2,0.5,13.27,"FF"
"340",94.5,-0.6,12.78,"FF"
"341",91.8,-0.0207670645082246,13.1113696890287,"FF"
"342",92.4,0.09,10.73,"FF"
"343",91.3,-0.785883925251989,14.9506870463983,"FF"
"344",93.4,1.12,11.88,"FF"
"345",93.6,1.08,9.17,"FF"
"346",91.4,-0.305573327346,13.6306711554,"FF"
"347",91.1,0.39,-4.4,"FF"
"348",92,0.93,12.82,"FF"
"349",92.8,2.76,11.28,"FF"
"350",92.3,4.64,11.68,"FF"
"351",93,-0.43,8.35,"FF"
"352",93.2,-0.898837791953872,11.69704603159,"FF"
"353",92.5,1.53,10.86,"FF"
"354",93.1,1.23,12.57,"FF"
"355",93.7,-0.84,13.36,"FF"
"356",93.4,1.13,7.95,"FF"
"357",93.1,1.85,8.56,"FF"
"358",94.5,0.02,11.64,"FF"
"359",93,0.3,12.1,"FF"
"360",96.2,2.43,13.07,"FF"
"361",92.1,0.75,10.23,"FF"
"362",93.5,1.50500339499012,14.7132718147864,"FF"
"363",93.4,-0.13,10.56,"FF"
"364",92.8,2.29,10.37,"FF"
"365",92.2,0.4,12.09,"FF"
"366",93.2,0.81,9.4,"FF"
"367",94.8,1.49,9.33,"FF"
"368",91.6,0.62,10.34,"FF"
"369",94.5,0.41,11.36,"FF"
"370",93.5,1.17,-2.86,"FF"
"371",91.7,1.3,11.33,"FF"
"372",92.3,1,11.55,"FF"
"373",93,0.73,12.45,"FF"
"374",92.3,1.62068656265533,13.684649137129,"FF"
"375",93.6,1.55,12.01,"FF"
"376",92.3,5.58,11.79,"FF"
"377",91.1,3.55,11.66,"FF"
"378",93.6,1.71,12.32,"FF"
"379",93.9,0.4,14.12,"FF"
"380",93.5,3.42,10.8,"FF"
"381",92.7,-3.05,12.9,"FF"
"382",93.7,-1.91,10.98,"FF"
"383",92.4,-0.77,16.55,"FF"
"384",92.5,4.75,12.1,"FF"
"385",94.1,-0.35,10.45,"FF"
"386",92.2,-1.41,9.54,"FF"
"387",91,0.07,13.76,"FF"
"388",92.7,0.53,12.3,"FF"
"389",95,2.67,11.45,"FF"
"390",91.5,0,10.19,"FF"
"391",92.7,2.28,11.61,"FF"
"392",93.5,1.54110302859635,12.3098659902829,"FF"
"393",92.2,1.54,11.97,"FF"
"394",94.1,-0.223979000058673,13.394015624011,"FF"
"395",92.8,1.62,13.98,"FF"
"396",92.5,0.96,11.53,"FF"
"397",94.2,0.61,11.42,"FF"
"398",94,-0.349149633261356,14.5233727574353,"FF"
"399",93.2,-0.633931101902405,14.0737641716369,"FF"
"400",92.9,5.85,12.7,"FF"
"401",93.4,0.15,10.18,"FF"
"402",94,-2.36,5.8,"FF"
"403",91.4,1,7.83,"FF"
"404",93.9,0.77,12.11,"FF"
"405",92.7,-0.532250423486038,13.9447549949468,"FF"
"406",94.1,3.27,12.8,"FF"
"407",94.1,2.49,8.76,"FF"
"408",91.6,0.71,12.15,"FF"
"409",93.9,-0.69,12.74,"FF"
"410",93.5,3.47,12.56,"FF"
"411",94.8,0.13,7.94,"FF"
"412",94.1,-0.52,10.15,"FF"
"413",93.9,-0.08,11.29,"FF"
"414",92.7,2.64,13.56,"FF"
"415",94.7,0.173499597503532,15.501565497766,"FF"
"416",93.4,2.05947660898451,14.7316087081988,"FF"
"417",92.6,-1.95,10.7,"FF"
"418",92.9,-0.58,9.1,"FF"
"419",91.5,1.62,11.65,"FF"
"420",92.9,2.22,15.3,"FF"
"421",91.8,3.74,11.78,"FF"
"422",92.5,1.55,12.83,"FF"
"423",92.4,1.48,11.54,"FF"
"424",92.6,-0.22,10.69,"FF"
"425",94.1,0.99,12.89,"FF"
"426",92.2,1.86,13.77,"FF"
"427",94.3,1.58,8.62,"FF"
"428",92.7,-0.59,10.65,"FF"
"429",94.3,0.48,12.34,"FF"
"430",94.4,0.36,9.13,"FF"
"431",93,0.28,10.83,"FF"
"432",92.3,1.99395940940513,10.6808714896676,"FF"
"433",92.9,0.15,13.85,"FF"
"434",92.7,1.50623223563704,15.2337117756534,"FF"
"435",93.6,-3.21,11.37,"FF"
"436",93,0.18,13.95,"FF"
"437",93.2,2.07,11.65,"FF"
"438",91.3,0.5,13.49,"FF"
"439",93.2,1.06,13.79,"FF"
"440",94.2,0.43,10.06,"FF"
"441",92.3,1.04,13.89,"FF"
"442",92.5,-0.47,13.28,"FF"
"443",92.9,2.9,10.85,"FF"
"444",93.1,0.09,10.84,"FF"
"445",92.3,-0.03,9.36,"FF"
"446",92.1,-1.8,10.73,"FF"
"447",92.1,1.64,12.27,"FF"
"448",94.4,-0.13,11.16,"FF"
"449",93.7,-0.91,14.33,"FF"
"450",94,1.22483623768088,15.943811356689,"FF"
